ID,Label
1,savory
2,not mentioned
3,sweet
4,error
5,sweet
6,sweet
7,sweet
8,sweet
9,sweet
10,sweet
11,umami
12,sweet
13,sour
14,sweet
15,sweet
16,sweet
17,sweet
18,sweet
19,sweet
20,sweet
21,sweet
22,sweet
23,sweet
24,sweet
25,sweet
26,sweet
27,sweet
28,sweet
29,sweet
30,error
31,error
32,sweet
33,sweet
34,sweet
35,sweet
36,savory
37,sweet
38,sweet
39,error
40,error
41,savory
42,umami
43,savory
44,savory
45,error
46,sweet
47,sweet
48,error
49,sweet
50,sweet
51,error
52,sweet
53,savory
54,not mentioned
55,error
56,sweet
57,sweet
58,sweet
59,sweet
60,sweet
61,savory
62,sweet
63,error
64,error
65,sweet
66,sweet
67,not mentioned
68,bitter
69,sweet
70,savory
71,sweet
72,sweet
73,sweet
74,error
75,umami
76,sour
77,sweet
78,sweet
79,error
80,sweet
81,sweet
82,sweet
83,error
84,sour
85,sweet
86,savory
87,sweet
88,savory
89,savory
90,savory
91,error
92,savory
93,savory
94,umami
95,savory
96,savory
97,savory
98,savory
99,umami
100,sour
101,sour
102,umami
103,sour
104,error
105,sweet
106,sweet
107,savory
108,savory
109,sweet
110,savory
111,error
112,savory
113,error
114,error
115,sweet
116,savory
117,sweet
118,sweet
119,savory
120,sweet
121,sweet
122,umami
123,sweet
124,savory
125,savory
126,savory
127,savory
128,error
129,error
130,not mentioned
131,savory
132,error
133,error
134,sweet
135,error
136,savory
137,sweet
138,error
139,umami
140,error
141,sour
142,error
143,savory
144,sweet
145,not mentioned
146,savory
147,sour
148,sweet
149,not mentioned
150,savory
151,savory
152,savory
153,umami
154,sweet
155,sweet
156,sweet
157,savory
158,savory
159,savory
160,savory
161,savory
162,umami
163,umami
164,savory
165,not mentioned
166,sweet
167,sweet
168,not mentioned
169,not mentioned
170,sour
171,error
172,savory
173,sweet
174,error
175,sweet
176,sweet
177,sweet
178,sweet
179,sweet
180,sweet
181,sweet
182,sweet
183,savory
184,sweet
185,sweet
186,sweet
187,error
188,umami
189,not mentioned
190,error
191,umami
192,error
193,sweet
194,sweet
195,umami
196,sweet
197,sweet
198,error
199,sweet
